AreaName,Year,Population
Mitchell,2010,15579
Montgomery,2010,27798
New Hanover,2010,202667
New Hanover,1990,120284
Onslow,2010,177772
Onslow,1990,149838
Orange,2000,115531
Pasquotank,1990,31298
Pasquotank,2000,34897
Pender,2010,52217
Pender,1990,28855
Randolph,1990,106546
Richmond,1990,44518
Rutherford,2020,64444
Surry,2020,71359
Transylvania,1990,25520
Union,2010,201292
Vance,2020,42578
Wake,2000,627846
Warren,1990,17265
Washington,2020,11003
Watauga,2010,51079
Watauga,2000,42693
Wayne,2000,113329
Wilson,2010,81234
Yadkin,2000,36351
